Name,Admission Rate,6-year Median Salary,CS Degree %,Undergrad Size,In-state Tuition,Out-of-state Tuition,City,State,Setting,SAT 25th % Critical Reading,SAT 75th % Critical Reading,SAT 25th % Math,SAT 75th % Math,SAT 25th % Writing,SAT 75th % Writing,SAT Average
"=HYPERLINK(""https://www.rpi.edu/"", ""Rensselaer Polytechnic Institute"")",57.26%,$77899,17.74%,6265,$57012,$57012,Troy,NY,city,620,720,680,780,,,1410
"=HYPERLINK(""https://www.rice.edu/"", ""Rice University"")",10.89%,$63654,12.32%,4052,$51107,$51107,Houston,TX,city,710,770,750,800,680,770,1533
"=HYPERLINK(""https://www.rose-hulman.edu/"", ""Rose-Hulman Institute of Technology"")",76.62%,$79785,15.35%,1969,$52914,$52914,Terre Haute,IN,city,610,700,650,760,550,660,1371
"=HYPERLINK(""https://www.scu.edu/"", ""Santa Clara University"")",50.72%,$77174,0.71%,5606,$52998,$52998,Santa Clara,CA,city,630,700,640,750,,,1367
"=HYPERLINK(""https://www.smu.edu/"", ""Southern Methodist University"")",52.67%,$60398,2.7%,6793,$58540,$58540,Dallas,TX,suburb,630,710,620,740,600,690,1388
"=HYPERLINK(""https://www.stanford.edu/"", ""Stanford University"")",5.19%,$88873,17.97%,6366,$56169,$56169,Stanford,CA,suburb,700,770,720,800,690,780,1491
"=HYPERLINK(""https://www.stevens.edu/"", ""Stevens Institute of Technology"")",53.06%,$82237,12.02%,3787,$55952,$55952,Hoboken,NJ,suburb,640,710,680,770,,,1415
"=HYPERLINK(""https://www.trincoll.edu/"", ""Trinity College"")",36.04%,$61447,3.89%,2194,$59050,$59050,Hartford,CT,city,,,,,,,
"=HYPERLINK(""https://www.union.edu/"", ""Union College"")",41.26%,$63542,2.0%,2035,$59502,$59502,Schenectady,NY,city,600,680,610,720,,,1339
"=HYPERLINK(""https://www.berkeley.edu/"", ""University of California-Berkeley"")",17.48%,$65914,11.13%,30796,$14312,$44066,Berkeley,CA,city,650,740,660,790,630,760,1437
"=HYPERLINK(""https://www.uchicago.edu/"", ""University of Chicago"")",7.31%,$62671,5.24%,7010,$60552,$60552,Chicago,IL,city,730,770,770,800,700,780,1537
"=HYPERLINK(""https://umich.edu/"", ""University of Michigan-Ann Arbor"")",26.11%,$62027,14.29%,31189,$15948,$52266,Ann Arbor,MI,city,660,740,680,780,640,730,1445
"=HYPERLINK(""https://www.nd.edu/"", ""University of Notre Dame"")",18.99%,$76123,6.07%,8854,$57699,$57699,Notre Dame,IN,suburb,690,760,710,790,,,1489
"=HYPERLINK(""https://www.upenn.edu/"", ""University of Pennsylvania"")",8.98%,$80445,7.12%,10507,$60042,$60042,Philadelphia,PA,city,710,770,750,800,690,780,1517
"=HYPERLINK(""https://www.richmond.edu/"", ""University of Richmond"")",30.9%,$61214,6.29%,3304,$56860,$56860,University of Richmond,VA,city,630,710,650,750,610,700,1394
"=HYPERLINK(""https://www.usc.edu/"", ""University of Southern California"")",16.11%,$65748,5.22%,19521,$60275,$60275,Los Angeles,CA,city,660,740,680,790,650,750,1441
"=HYPERLINK(""https://www.virginia.edu/"", ""University of Virginia-Main Campus"")",22.58%,$64712,4.47%,17076,$18960,$52843,Charlottesville,VA,suburb,660,740,660,770,620,720,1426
"=HYPERLINK(""https://www.vanderbilt.edu/"", ""Vanderbilt University"")",11.62%,$65261,6.74%,7052,$54158,$54158,Nashville,TN,city,720,770,750,800,690,770,1520
"=HYPERLINK(""https://www.villanova.edu/"", ""Villanova University"")",30.66%,$77358,5.01%,6980,$57460,$57460,Villanova,PA,suburb,650,710,670,750,590,690,1406
"=HYPERLINK(""https://www.wfu.edu/"", ""Wake Forest University"")",31.98%,$60081,2.45%,5438,$57760,$57760,Winston-Salem,NC,city,,,,,,,
"=HYPERLINK(""https://www.wustl.edu/"", ""Washington University in St Louis"")",16.02%,$64543,8.07%,7366,$57386,$57386,Saint Louis,MO,suburb,720,760,760,800,690,770,1520
"=HYPERLINK(""https://www.wlu.edu/"", ""Washington and Lee University"")",24.51%,$66267,3.14%,1820,$57285,$57285,Lexington,VA,town,670,740,680,760,650,730,1451
"=HYPERLINK(""https://www.wpi.edu/"", ""Worcester Polytechnic Institute"")",59.05%,$77597,17.64%,4804,$54416,$54416,Worcester,MA,city,,,,,,,
"=HYPERLINK(""https://www.yale.edu/"", ""Yale University"")",6.53%,$72046,7.25%,4701,$57700,$57700,New Haven,CT,city,720,780,740,800,710,790,1520
